id,type,per,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_all_j,resid_all_h,resid_all_k,resid_all_3,resid_all_4,photfeh,photfeh_err,spectfeh,spectfeh_err
3.0,0.0,0.841258,13.2473573668,0.0174188595111,12.9816040474,0.0183620986455,12.8818734013,0.0174355957742,12.8408674221,0.0394620070448,12.7077907694,0.03574329774,0.109377282617,0.0835843260391,0.0882189792798,0.0619793090393,0.0348830253103,-1.54,0.05,,
4.0,0.0,0.62732,13.475108934,0.0159478316185,13.2189074538,0.0210436055212,13.1327453413,0.0198934662641,13.0296299499,0.0359246897458,13.0260254837,0.0348389150233,0.0117361710343,0.0125974972172,-0.0145428008692,-0.0274377622183,-0.0136639844485,-1.74,0.05,,
5.0,0.0,0.515274,13.6999254242,0.0171731379388,13.548892523,0.0196977156036,13.5065967215,0.0265910385907,13.3871486147,0.0428631543403,13.3400494474,0.0297895395511,0.0183709070557,0.135868314061,0.122190689379,0.143556383572,0.0544261117313,-1.35,0.08,-1.24,0.11
7.0,0.0,0.713,13.3326552658,0.00925562891794,13.1508866159,0.0308193662059,13.0358166741,0.0183620986455,,,,,0.0112469676383,0.0790795572044,0.0428141845932,,,-1.46,0.08,,
8.0,0.0,0.521329,13.5047993206,0.014634434279,13.2580410882,0.0165,13.2231514067,0.0136717470232,,,,,-0.163800635653,-0.14270944378,-0.147175729799,,,-1.91,0.28,,
9.0,0.0,0.52348,13.7757272401,0.0166458202962,13.5339313928,0.0207846096908,13.469579702,0.0162198438135,13.3146343909,0.0364760195197,13.2789743718,0.0389015852291,0.111693118608,0.137506718052,0.104214672019,0.0860204212877,0.0130999774648,-1.49,0.06,,
10.0,1.0,0.374976,13.5787821328,0.0135339080338,13.3946385787,0.0228819433907,13.3454315504,0.018801595677,13.3423004837,0.0366242178529,13.1681064141,0.0374277080962,-0.0267241155454,-0.0314843720268,-0.0207126039436,0.028066626189,-0.114348334351,-1.66,0.1,,
11.0,0.0,0.564789,13.4811991765,0.0144279820719,13.3072668097,0.0277308492477,13.2187967503,0.0250116639457,13.0497922921,0.0580222658411,,,-0.0986114598127,-0.00936111561263,-0.0550349836672,-0.106818658188,,-1.67,0.13,-1.61,0.22
12.0,1.0,0.386769,13.5902189499,0.0184390889146,13.3786481568,0.0280935935758,13.3045621063,0.0249365862406,13.1682374472,0.0480789281633,13.4479778753,0.088424167134,0.0129722472402,-0.0144232760564,-0.0283452890714,-0.108928369617,0.204334888655,-1.53,0.14,,
13.0,0.0,0.669039,13.3525169876,0.0192591969372,13.0807481439,0.0222298597986,13.0578864696,0.016618263046,12.9176301873,0.0323135678418,12.8596555542,0.0309152066142,-0.0394596458927,-0.0579182208494,-0.0118090267721,-0.0784006669967,-0.0995563950406,-1.91,0.0,,
14.0,1.0,0.377114,13.588188079,0.0108282039139,13.3428275604,0.0195021366351,13.3651494266,0.0160286202359,,,13.2987493718,0.0449573872313,-0.0121295137438,-0.0772268942071,0.00510777997319,,0.0234207416366,-1.71,0.13,,
15.0,0.0,0.810642,13.2449732718,0.0179953697748,13.0199288531,0.0305845821725,12.9536876236,0.0250166611148,13.1490070259,0.0838475799691,,,0.0658847944366,0.0829613709886,0.115356984327,0.334975170898,,-1.64,0.39,-1.68,0.18
16.0,1.0,0.330202,13.6803947253,0.0153677150763,13.5015362258,0.0215831724576,13.4369064049,0.0176517232398,,,,,-0.0411568225157,-0.0603098300289,-0.0657215305796,,,-1.29,0.08,-1.65,0.46
18.0,0.0,0.621689,13.3714167251,0.0101693985401,13.1311042794,0.0238414904456,13.1001916825,0.0164848415218,13.0056017573,0.0425959700754,,,-0.10195463277,-0.0846787519508,-0.0579628391024,-0.0600137965587,,-1.78,0.28,,
19.0,,,,,,,,,,,,,,,,,,-1.22,0.05,,
20.0,0.0,0.615559,13.4102007157,0.0146969384567,13.210078414,0.035530503327,13.1252574718,0.0251462389501,13.0598012681,0.0394049489278,12.9398495231,0.0293072800967,-0.0741587607859,-0.0161152070583,-0.0448388343501,-0.0152080755708,-0.123496110258,,,-1.52,0.34
21.0,1.0,0.380812,13.5776056731,0.0164062996031,13.3987922702,0.0266520793435,13.3614236395,0.0204450483003,13.3011918933,0.0473233557559,13.1996366107,0.032267114322,-0.0138063985562,-0.0108465537862,0.0118559991153,0.00544536466832,-0.0634611447335,-0.9,0.11,,
22.0,1.0,0.396055,13.5718266883,0.0120761472885,13.3798740897,0.0163018403869,13.2882583721,0.0168522995464,,,,,0.0162321197029,0.0121263440632,-0.0191834064818,,,-1.63,0.17,-1.6,0.99
23.0,0.0,0.51087,13.9414510281,0.0247907913011,13.7939049746,0.0476742418223,13.6577764544,0.0334203032103,13.3253135875,0.0638278935889,,,0.250378247139,0.371862776068,0.26302606218,0.0735841517429,,-1.08,0.14,-1.35,0.58
24.0,1.0,0.462278,13.4191898083,0.0121997267729,13.2178704985,0.0135523675668,13.138048696,0.0139253964635,,,,,0.0046971152694,0.015151278577,-0.00343963517293,,,-1.86,0.03,,
25.0,,,,,,,,,,,,,,,,,,-1.57,0.14,,
26.0,,,,,,,,,,,,,,,,,,-1.68,0.1,-1.81,0.12
27.0,,,,,,,,,,,,,,,,,,-1.5,0.26,-1.16,0.14
30.0,1.0,0.40441,13.5209278027,0.0212642109345,13.2866747729,0.0456115847857,13.2511787804,0.0296057426862,13.1881110961,0.0467100988367,13.07069113,0.0602550136227,-0.0156149810749,-0.0587905760727,-0.0338557172166,-0.0356633980661,-0.117048947877,-1.75,0.17,-1.62,0.28
32.0,0.0,0.620373,13.5078880678,0.00897682200633,13.2435126279,0.0184481254694,13.1324912178,0.0179953697748,,,,,0.0321669210295,0.025503311141,-0.0282170324032,,,-1.53,0.16,,
33.0,0.0,0.602324,13.3376045677,0.0146941031256,13.1055529863,0.0215483951452,13.0908960272,0.0193476958146,,,13.0057594775,0.0348616312489,-0.170856823513,-0.143475767338,-0.105394014469,,-0.0847537672189,-2.09,0.23,-1.58,0.42
34.0,0.0,0.733967,13.2727197652,0.0136198384719,13.0175727705,0.0140653237906,12.9160254159,0.0127964838921,,,12.8377706226,0.0645316459835,-0.016550141325,-0.0237850711007,-0.0420493701421,,-0.00567058917171,-1.71,0.0,,
35.0,1.0,0.386841,13.5860963861,0.0115253344131,13.4627962128,0.0235778851186,13.3555360762,0.0229691822522,,,,,0.00901955716566,0.0699234591629,0.0228284735688,,,-1.56,0.08,-1.63,0.36
36.0,1.0,0.379846,13.5335222986,0.00721110255093,13.3723518678,0.0190328663107,13.3065211549,0.0144481832768,,,,,-0.0602077211761,-0.0399979588527,-0.045772682283,,,-1.49,0.23,,
38.0,0.0,0.779061,13.2261938819,0.0149192269684,12.9429749871,0.0194507926145,12.8142445387,0.0180531622345,,,,,0.00304148786662,-0.0357404387138,-0.0719743531134,,,-1.75,0.18,-1.64,0.4
39.0,1.0,0.393374,13.5602222047,0.00893028554975,13.4145678078,0.0141362418391,13.3083093897,0.0136900206964,,,,,-0.00157107214427,0.0395702387341,-0.0064228447951,,,-1.96,0.29,,
40.0,0.0,0.634072,13.517320571,0.0220775149568,13.2502077968,0.0510220540551,13.1531014266,0.0331272797958,13.0618275118,0.0492273636643,13.4161594238,0.0560357029045,0.0658192255822,0.0551453031962,0.0187150299974,0.0149087255459,0.38985138455,-1.6,0.08,-1.62,0.19
41.0,,,,,,,,,,,,,,,,,,-1.89,0.48,,
44.0,0.0,0.567545,13.6773822223,0.0137173855624,13.4246439664,0.0229328730574,13.3678497551,0.0184232642783,,,13.1323631527,0.0364337297935,0.102969445711,0.113130192549,0.0998843645984,,-0.0324903104979,-1.4,0.12,-1.29,0.35
