filt,wav,type,slope,slope_err,zpt,zpt_err
J,1.22,RRab,-0.0949620349175,0.122433961834,-0.115664798501,0.199998790102
J,1.22,RRc,0.0232422559348,0.047854681322,0.0727848691337,0.0721239235448
H,1.63,RRab,-0.0907709768856,0.171523423052,-0.112339379202,0.279727831637
H,1.63,RRc,-0.0130689533819,0.0864669011448,0.0668841946372,0.130318121513
K,2.19,RRab,-0.0912604854078,0.155794386707,-0.107171236093,0.25379333516
K,2.19,RRc,0.00859131776886,0.0551958068527,0.0763608845411,0.0832879796409
3,3.55,RRab,0.00431062599055,0.428883537116,0.0300984832486,0.696609084857
3,3.55,RRc,-0.179953364969,0.216506329122,-0.230572408036,0.304288329832
4,4.493,RRab,-0.268749253191,0.244411559885,-0.44489372225,0.408734225723
4,4.493,RRc,0.770299401627,0.331232706022,1.19863353491,0.503642934751
