filt,wav,type,slope,slope_err,zpt,zpt_err
J,1.22,RRab,0.0391892790079,0.0420962955138,0.0710602042032,0.0761273384903
J,1.22,RRc,0.0852854063388,0.024263429094,0.143101393291,0.0447573593895
H,1.63,RRab,0.0661945938797,0.0588138571947,0.11301104652,0.106873951908
H,1.63,RRc,0.0960879138493,0.0418687875823,0.167492192989,0.0768365921439
K,2.19,RRab,0.038545869291,0.0395288046155,0.066427276718,0.0714784964113
K,2.19,RRc,0.0859326697377,0.0279166285669,0.148787109981,0.0514228775974
3,3.55,RRab,0.121458814104,0.0876672850143,0.216869892279,0.153408564093
3,3.55,RRc,-0.0159756822926,0.0957070920904,-0.040142073964,0.173720072282
4,4.493,RRab,0.0684198719664,0.217051546887,0.108616840179,0.38866661423
4,4.493,RRc,0.0322232823743,0.102248079402,0.089830260543,0.199577452584
