id ra dec j ks per Type d Prob1 Prob2 Memb
V19 13:27:30.12 −47:28:05.74 13.852 13.631 0.299551 RRc 7.27 100 100 m
V21 13:26:11.15 −47:25:59.30 13.538 13.362 0.380812 RRc 6.71 100 99 m
V52 13:26:35.15 −47:28:04.33 12.831 12.634 0.660386 RRab 2.16 53 45 m
V56 13:25:55.44 −47:37:44.44 13.612 13.301 0.568023 RRab 12.53 98 100 m
V68 13:26:12.79 −47:19:36.12 13.168 12.897 0.534696 RRc/ACEP? 10.87 100 100 m?
V80 13:28:54.96 −47:30:16.42 13.568 13.360 0.37718 RRc 21.62 out out m
V84 13:24:47.47 −47:49:56.18 13.031 12.712 0.579873 RRab/ACEP? 29.24 0 out m?
V143 13:26:42.59 −47:27:28.98 12.783 12.510 0.820734 RRab 1.51 90 99 m
V151 13:28:25.31 −47:16:00.01 13.455 13.211 0.407756 RRc 20.94 out out m
V168 13:25:52.74 −47:32:03.19 14.164 13.916 0.321299 RRc 9.78 0 0 f
V172 13:27:55.04 −47:04:38.50 13.220 12.927 0.7380 RRab 26.72 out out m
V173 13:29:43.13 −47:16:53.80 13.624 13.360 0.3590 RRc 32.05 out out m
V177 13:29:04.15 −47:36:21.42 13.690 13.479 0.31469 RRc 24.31 out out m
V180 13:28:15.22 −47:40:32.02 13.201 12.839 0.39006 WUMa 18.93 0 out f
V181 13:30:00.35 −47:48:44.96 14.823 14.535 0.5884 RRab 38.17 out out f
V183 13:29:39.50 −47:30:18.36 14.690 14.449 0.29603 RRc 29.13 out out f
V268 13:26:35.11 −47:26:11.15 13.156 12.827 0.812922 RRab 3.30 70 99 m
V283 13:27:36.53 −47:46:40.44 16.947 16.682 0.517233 RRab 19.73 out out f
V411 13:26:40.77 −47:28:17.00 13.123 12.796 0.8449 RRab 1.20 100 99 m
V433 13:29:03.59 −47:48:58.25 14.737 14.151 0.6681 ? 30.58 out out f
