other_id type startype per other_per ra ra1 ra2 dec dec1 dec2 vmag color amp id
V12  AB RRLyr      0.683 -       13 27 32.83 -47 13 43.38 14.62  0.60     0.90 V149  
V18  AB RRLyr      0.738 -       13 27 55.05 -47 04 38.51 14.43  0.77     0.70 V172  
V32  C RRLyr       0.336 -       13 27 35.61 -47 26 30.58 14.45  0.53     0.40 V82   
V33  C RRLyr       0.299 -       13 27 30.20 -47 28 05.37 14.65  0.49     0.40 V19   
V36  AB RRLyr      0.622 -       13 27 45.04 -47 24 56.84 14.93  0.82     0.90 V18   
V38  C RRLyr       0.779 -       13 27 36.64 -47 24 48.64 14.41  0.60     0.40 V81   
V45  C RRLyr       0.426 -       13 27 20.86 -47 22 06.03 14.49  0.68     0.35 V77   
V47  C RRLyr       0.422 -       13 27 19.65 -47 18 47.19 14.32  0.59     0.35 V75   
V48  AB RRLyr      0.503 -       13 27 07.22 -47 17 34.43 15.11  0.91     1.10 V74   
V49  C RRLyr       0.315 -       13 29 04.07 -47 36 21.78 14.76  0.57     0.30 V177  
V53  C RRLyr/EcB   0.377 0.754   13 28 54.73 -47 30 21.08 19.41  0.89     0.25 -     
V60  C RRLyr       0.330 -       13 27 37.66 -47 37 35.21 14.76  0.61     0.40 V16   
V61  AB RRLyr      0.794 -       13 27 49.36 -47 36 50.78 14.51  0.70     0.50 V57   
V63  C RRLyr       0.396 -       13 27 41.01 -47 34 08.19 14.61  0.70     0.40 V22   
V64  C RRLyr       0.462 -       13 27 38.29 -47 34 15.02 14.39  0.70     0.30 V24   
V66  C RRLyr       0.335 -       13 27 45.99 -47 32 44.37 14.73  0.60     0.40 V105  
V67  C RRLyr       0.391 -       13 27 27.73 -47 33 43.18 14.33  0.55     0.30 V70   
V70  AB RRLyr      0.691 -       13 27 22.08 -47 30 12.69 14.01 -0.96     0.80 V102  
V82  AB RRLyr      0.518 -       13 27 36.47 -47 46 40.07 18.34  0.76     0.90 V283  
V91  AB RRLyr      0.638 -       13 26 14.03 -47 53 08.18 17.12  0.77     0.35 -     
V99  C RRLyr/EcB   0.671 1.342   13 24 40.44 -47 45 22.52 17.45  0.98     0.18 -     
V101 AB RRLyr      0.605 -       13 26 07.69 -47 37 55.74 14.66  0.77     0.80 V49   
V103 C RRLyr       0.344 -       13 26 02.12 -47 36 19.50 14.39  0.45     0.40 V64   
V105 AB RRLyr      0.631 -       13 26 12.24 -47 34 17.44 14.00  0.42     0.90 V115  
V106 AB RRLyr      0.567 -       13 26 22.35 -47 34 34.98 14.27  0.52     0.80 V44   
V107 AB RRLyr      0.734 -       13 26 07.14 -47 33 10.35 14.30  0.63     0.70 V34   
V110 AB RRLyr      0.635 -       13 26 30.29 -47 33 01.40 14.50  0.71     0.90 V122  
V111 AB RRLyr      0.548 -       13 26 25.48 -47 32 47.87 14.76  0.82     0.80 V120  
