#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-09-26T13:56:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ542570194157	
#INFO	-out.max=99999	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=99999
#-nav=cat:J/ApJ/640/L43&tab:{J/ApJ/640/L43/table1}&key:source=J/ApJ/640/L43&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/640/L43/table1
#-order=I
#-out=Seq
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=Vmag
#-out=Kmag
#-out=log(T)
#-out=log(L)
#-out=RRt
#-out=Vamp
#-out=Per
#-out=999.0
#999.0=999.0
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_16409043
#Name: J/ApJ/640/L43
#Title: Metallicities of RR Lyrae stars in Omega Cen (Sollima+, 2006)
#Table	J_ApJ_640_L43_table1:
#Name: J/ApJ/640/L43/table1
#Title: Metallicities and properties of the target RRLyrae
#Column	Seq	(I3)	The OGLE number (Cl* NGC 5139 SAW VNNN in 999.0)	[ucd=meta.id;meta.main]
#Column	[Fe/H]	(F5.2)	Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	Error in [Fe/H]	[ucd=stat.error;phys.abund.Fe]
#Column	Vmag	(F6.3)	Mean V magnitude from Kaluzny et al. (2004, Cat. <J/A+A/424/1101>)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.3)	Mean K magnitude from Sollima et al. (2004, Cat. <J/A+A/420/173>)	[ucd=phot.mag;em.IR.K]
#Column	log(T)	(F6.3)	Logarithm of the mean temperature	[ucd=phys.temperature.effective]
#Column	log(L)	(F6.3)	Logarithm of the mean luminosity in solar units	[ucd=phys.luminosity]
#Column	RRt	(I1)	The RR type: 1=RRab, 0=RRc	[ucd=meta.code;src.var]
#Column	Vamp	(F5.2)	The V band amplitude	[ucd=src.var.amplitude]
#Column	Per	(F6.3)	Period	[ucd=time.period]
#Column	999.0	(a6)	ask the {\bf\fg{FireBrick}999.0} data-base about this object	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from 999.0 (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from 999.0 (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Seq	[Fe/H]	e_[Fe/H]	Vmag	Kmag	log(T)	log(L)	RRt	Vamp	Per	999.0	_RA	_DE
 	[Sun]	[Sun]	mag	mag	[K]	[solLum]	 	d	d	 	deg	deg
---	-----	-----	------	------	------	------	-	-----	------	------	---------	---------
  5	-1.24	 0.11	14.745	13.295	 3.804	 1.626	1	 1.15	 0.515	999.0	201.57633	-47.38686
 11	-1.61	 0.22	14.534	13.158	 3.813	 1.704	1	 0.65	 0.565	999.0	201.62729	-47.38383
 15	-1.68	 0.18	14.397	12.765	 3.784	 1.781	1	 0.70	 0.811	999.0	201.61283	-47.41061
 16	-1.65	 0.46	14.562	13.409	 3.839	 1.674	0	 0.49	 0.330	999.0	201.90717	-47.62639
 20	-1.52	 0.34	14.579	12.953	 3.784	 1.708	1	 1.12	 0.616	999.0	201.80850	-47.46850
 22	-1.60	 0.99	14.547	13.274	 3.825	 1.690	0	 0.45	 0.396	999.0	201.92108	-47.56886
 23	-1.35	 0.58	14.869	13.239	 3.784	 1.592	1	 1.05	 0.511	999.0	201.69362	-47.41097
 26	-1.81	 0.12	14.502	12.879	 3.785	 1.738	1	 0.59	 0.785	999.0	201.59842	-47.44992
 27	-1.16	 0.14	14.757	13.136	 3.785	 1.636	1	 0.59	 0.616	999.0	201.60842	-47.47133
 30	-1.62	 0.28	14.483	13.207	 3.825	 1.716	0	 0.38	 0.404	999.0	201.56633	-47.49897
 33	-1.58	 0.42	14.544	13.063	 3.801	 1.709	1	 1.17	 0.602	999.0	201.46487	-47.48500
 35	-1.63	 0.36	14.563	13.271	 3.823	 1.685	0	 0.45	 0.387	999.0	201.72187	-47.37631
 38	-1.64	 0.40	14.478	12.801	 3.779	 1.753	1	 0.59	 0.779	999.0	201.76354	-47.60842
 40	-1.62	 0.19	14.519	13.144	 3.813	 1.710	1	 1.11	 0.634	999.0	201.60229	-47.51292
 44	-1.29	 0.35	14.732	13.433	 3.822	 1.618	1	 0.98	 0.568	999.0	201.59329	-47.57653
 51	-1.84	 0.23	14.564	13.124	 3.806	 1.697	1	 1.18	 0.574	999.0	201.67742	-47.40597
 54	-1.80	 0.23	14.419	12.784	 3.783	 1.773	1	 0.65	 0.773	999.0	201.59792	-47.31331
 58	-1.91	 0.31	14.474	13.405	 3.849	 1.703	0	 0.28	 0.370	999.0	201.55433	-47.40092
 67	-1.19	 0.23	14.681	13.267	 3.809	 1.649	1	 1.04	 0.564	999.0	201.61900	-47.31308
 70	-1.74	 0.30	14.558	13.228	 3.818	 1.691	0	 0.41	 0.391	999.0	201.86567	-47.56197
 71	-1.74	 0.28	14.532	13.266	 3.826	 1.695	0	 0.44	 0.357	999.0	201.78410	-47.46450
 75	-1.82	 0.99	14.476	13.040	 3.806	 1.732	0	 0.39	 0.422	999.0	201.83204	-47.31300
 77	-1.84	 0.43	14.569	13.146	 3.808	 1.694	0	 0.42	 0.426	999.0	201.83696	-47.36831
 81	-1.99	 0.43	14.608	13.269	 3.817	 1.671	0	 0.44	 0.389	999.0	201.90271	-47.41347
 82	-1.71	 0.56	14.563	13.344	 3.831	 1.679	0	 0.39	 0.336	999.0	201.89829	-47.44183
 86	-1.99	 0.23	14.541	12.899	 3.783	 1.725	1	 1.00	 0.648	999.0	201.81325	-47.43650
 89	-1.66	 0.23	14.635	13.203	 3.806	 1.668	0	 0.46	 0.375	999.0	201.69150	-47.43361
 90	-1.78	 0.31	14.525	13.225	 3.822	 1.701	1	 1.09	 0.603	999.0	201.69037	-47.43969
 91	-1.81	 0.30	14.335	12.582	 3.770	 1.816	1	 0.58	 0.895	999.0	201.71079	-47.43767
 97	-1.74	 0.17	14.534	13.032	 3.798	 1.714	1	 0.89	 0.692	999.0	201.78521	-47.42542
 99	-1.91	 0.25	14.244	12.789	 3.804	 1.827	1	 1.07	 0.766	999.0	201.75900	-47.46367
102	-1.65	 0.16	14.554	12.925	 3.784	 1.718	1	 0.96	 0.691	999.0	201.84221	-47.50353
103	-1.78	 0.27	14.538	13.347	 3.834	 1.687	0	 0.29	 0.329	999.0	201.80942	-47.47683
106	-1.90	 0.26	14.518	13.212	 3.821	 1.705	1	 1.15	 0.570	999.0	201.74667	-47.47025
108	-1.63	 0.13	14.532	12.973	 3.792	 1.720	1	 1.11	 0.595	999.0	201.76929	-47.49047
109	-1.70	 0.07	14.446	12.884	 3.791	 1.755	1	 0.95	 0.744	999.0	201.75642	-47.49356
110	-1.65	 0.52	14.616	13.491	 3.842	 1.650	0	 0.49	 0.322	999.0	201.75858	-47.50189
111	-1.79	 0.09	14.393	12.799	 3.788	 1.779	1	 0.65	 0.763	999.0	201.70429	-47.47772
114	-1.61	 0.99	14.467	13.170	 3.822	 1.724	1	 0.87	 0.675	999.0	201.70892	-47.50597
115	-1.64	 0.32	14.535	13.124	 3.809	 1.707	1	 1.06	 0.630	999.0	201.55117	-47.57161
116	-1.11	 0.17	14.392	12.514	 3.756	 1.805	1	 0.69	 0.720	999.0	201.64779	-47.46861
118	-2.04	 0.14	14.458	12.793	 3.780	 1.760	1	 1.04	 0.612	999.0	201.66896	-47.50533
120	-1.15	 0.16	14.764	13.340	 3.807	 1.616	1	 0.98	 0.549	999.0	201.60633	-47.54689
121	-1.83	 0.40	14.588	13.439	 3.839	 1.663	0	 0.28	 0.304	999.0	201.61737	-47.53078
122	-1.79	 0.21	14.554	13.038	 3.797	 1.708	1	 1.07	 0.635	999.0	201.62629	-47.55067
125	-1.81	 0.38	24.020	13.079	 3.798	 1.696	1	 1.17	 0.593	999.0	201.70412	-47.68431
