id,ra,dec,per,mag_v,mag_b,type,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_j,resid_h,resid_k,resid_3,resid_4,photfeh,photfeh_err,per_old,per_new,feh_s,feh_s_err,feh_r,feh_r_err,feh_rs,feh_rs_err,feh_b,feh_comb,feh_comb_err,clip_j,clip_h,clip_k,clip_3,clip_4
3,13:25:56.15,-47:25:53.8,0.841258,14.389,14.907,0,13.2748342975,0.00502839161385,13.0005564067,0.00530068129793,12.9150666729,0.00503322295685,12.895954617,0.0199205741641,,,-0.140892327734,-0.168867243776,-0.168217249115,-0.0507787650869,,-1.54,0.05,0.8413,0.841262,,,-1.54,0.05,-1.73,0.05,-1.59,-1.72,0.04,False,False,False,False,True
4,13:26:12.93,-47:24:18.8,0.62732,14.453,14.905,0,13.4990947093,0.00460374243898,13.2472240484,0.0060747656562,13.1426586558,0.00574274905134,13.0501617174,0.0134205260725,13.233315077,0.0183382788799,-0.11269395409,-0.13019656109,-0.106010505059,0.0970471085172,-0.102437526446,-1.74,0.05,0.6273,0.627318,,,-1.74,0.05,-1.95,0.05,-2.24,-1.96,0.08,False,False,False,False,False
5,13:26:18.33,-47:23:12.4,0.515274,14.745,15.235,0,13.782586924,0.00495745790591,13.6274790693,0.00568624070308,13.5493788646,0.00767617164419,,,13.7537561903,0.0310022638929,-0.226907926661,-0.319127006459,-0.318415356665,,-0.421641759275,-1.35,0.08,0.5153,0.51528,-1.24,0.11,-1.35,0.08,-1.43,0.17,-0.78,-1.22,0.43,True,True,True,True,False
7,13:27:00.90,-47:14:00.5,0.713,14.59,99.999,0,13.36852206,0.00267186992365,13.2046095534,0.00889678468761,13.0506295652,0.00530068129793,,,,,-0.0922656893981,-0.212071352883,-0.140416715115,,,-1.46,0.08,0.713,0.713034,,,-1.46,0.08,-1.64,0.08,-1.8,-1.66,0.07,False,False,False,True,True
8,13:27:48.45,-47:28:20.3,0.521329,14.683,15.061,0,13.5299220988,0.00422459728521,13.2786892235,0.00476313972081,13.2381426091,0.00394669341207,,,,,0.0157059879877,0.0183029258003,-0.0187165926307,,,-1.91,0.28,0.5213,0.521326,,,-1.91,0.28,-2.13,0.28,-1.49,-1.77,0.45,False,False,False,True,True
9,13:25:59.58,-47:26:24.0,0.52348,14.756,15.274,0,13.7842124319,0.00480523441445,13.5434915538,0.006,13.4764853093,0.00468226559596,13.3976411723,0.010443696707,13.7167572961,0.029846081535,-0.242126788362,-0.25050320583,-0.261125681498,-0.0641763214775,-0.400802556242,-1.49,0.06,0.5235,0.523464,,,-1.49,0.06,-1.67,0.06,-0.7,-1.62,0.31,True,False,True,False,False
10,13:26:06.99,-47:24:36.6,0.374976,14.484,14.902,1,13.5846380674,0.00390690272324,13.4112182904,0.00660544808809,13.3509416778,0.00542755316264,13.404833456,0.00722464515723,,,-0.0687650989486,-0.104150722763,-0.11882139649,-0.0849766115654,,-1.66,0.1,0.375,0.374882,,,-1.66,0.1,-1.86,0.1,-1.9,-1.87,0.02,False,False,False,False,True
11,13:26:30.59,-47:23:01.6,0.564789,14.534,14.914,0,13.4937720734,0.00416499966653,13.3407778792,0.00800520663902,13.2404849768,0.00722024545597,13.214357193,0.00943678393374,,,-0.0170319651507,-0.121645489591,-0.100135822116,0.0409305156544,,-1.67,0.13,0.5648,0.564806,-1.61,0.22,-1.67,0.13,-1.81,0.15,-2.09,-1.89,0.18,False,False,False,False,True
12,13:26:27.21,-47:24:06.2,0.386769,14.522,14.94,1,13.5974421757,0.00532290647422,13.4089558463,0.00810992190673,13.3129540849,0.00719857238933,,,13.3993917572,0.0105256347719,-0.114665191986,-0.138144587014,-0.117359075652,,-0.189595784518,-1.53,0.14,0.3868,0.386767,,,-1.53,0.14,-1.71,0.14,-1.71,-1.71,0.0,False,False,False,True,False
13,13:25:58.18,-47:25:21.6,0.669039,14.465,14.951,0,13.3945885991,0.00555965126804,13.1016307321,0.00641720776939,13.0687143731,0.00479727932154,12.9084392511,0.0165565934744,13.1634669369,0.0241250977019,-0.0635811618941,-0.047210836416,-0.0956524945152,0.172498921778,-0.0984406048727,-1.91,0.0,0.669,0.669048,,,-1.91,0.5,-2.13,0.5,-1.71,-1.8,0.23,False,False,False,False,False
