 3p6_err  4p5_err  Type
 0.007  0.021  RRc 
 0.027  0.010  RRab
99.999  0.008  RRab
 0.012  0.009  RRab
 0.013 99.999  RRc 
 0.013  0.010  RRab
 0.013  0.009  RRab
 0.012  0.011  RRab
 0.015  0.011  RRab
99.999  0.010  RRab
 0.023  0.013  RRab
 0.017  0.014  RRab
 0.014 99.999  RRab
 0.011  0.008  RRab
 0.016  0.014  RRab
 0.014 99.999  RRab
 0.031  0.031  RRc 
 0.016  0.016  RRab
 0.014  0.009  RRab
 0.011  0.013  RRc 
 0.012  0.010  RRab
 0.013  0.010  RRab
 0.013  0.017  RRab
 0.012 99.999  RRab
 0.013  0.014  RRab
 0.013 99.999  RRab
99.999  0.011  RRab
 0.013  0.007  RRc 
 0.012  0.011  RRab
 0.012  0.008  RRab
 0.020  0.011  RRc 
 0.011  0.007  RRc 
 0.032 99.999  RRc 
 0.011  0.010  RRc 
 0.015  0.015  RRab
 0.015  0.006  RRc 
 0.029  0.032  RRc 
