id,ra,dec,per_old,per_new,stuff,stuff2,stuff3,stuff4
3,132556.16,-472554.2,0.8413,0.841262,,,,
4,132612.94,-472419.2,0.6273,0.627318,,,V,49156.5732
5,132618.34,-472312.8,0.5153,0.515280,V,50975.5712,V,49865.6237
7,132701.04,-471400.1,0.7130,0.713034,V,49142.5355,V,49082.5766
8,132748.43,-472820.6,0.5213,0.521326,V,51285.8083,V,49824.5018
9,132559.59,-472624.4,0.5235,0.523464,,,,
10,132607.01,-472437.0,0.3750,0.374882,I,49863.6418,I,52446.5061
11,132630.56,-472301.9,0.5648,0.564806,,,,
12,132627.19,-472406.6,0.3868,0.386767,V,50983.6588,V,51276.7254
13,132558.19,-472522.0,0.6690,0.669048,,,V,51316.5671
14,132559.67,-473909.8,0.3771,0.377126,,,,
15,132627.10,-472438.4,0.8106,0.810654,,,,
16,132737.71,-473735.0,0.3302,0.330196,B,51284.7529,B,51285.6659
18,132745.07,-472456.9,0.6217,0.621686,V,51675.5857,V,51340.4589
19,132730.13,-472805.7,0.2996,0.299552,V,51305.7769,V,49869.6627
20,132714.05,-472806.8,0.6156,0.615564,V,50971.6926,V,50971.6481
21,132611.18,-472559.3,0.3808,0.380809,V,51276.7515,V,50978.4818
22,132741.05,-473407.9,0.3961,0.396084,,,V,51348.5895
23,132646.50,-472439.6,0.5109,0.510870,V,50971.6918,V,49866.6429
24,132738.33,-473414.8,0.4623,0.462222,,,,
25,132625.52,-472823.7,0.5884,0.588354,I,49861.6692,I,50921.8161
26,132623.63,-472659.8,0.7847,0.784721,V,50975.6099,V,50978.6516
27,132626.04,-472817.0,0.6157,0.615693,V,50978.6798,V,51276.5985
30,132615.94,-472956.5,0.4044,0.404235,V,50971.6349,V,50975.5632
32,132703.36,-472139.2,0.6204,0.620368,V,49866.7524,V,49863.6101
33,132551.59,-472906.1,0.6023,0.602333,V,51313.5125,V,51285.7634
34,132607.20,-473310.8,0.7340,0.733955,V,50984.4808,V,52443.5106
35,132653.26,-472234.9,0.3868,0.386833,V,51276.6871,V,51276.5919
36,132710.21,-471529.5,0.3798,0.379813,V,49113.5269,V,49114.5660
38,132703.24,-473630.3,0.7791,0.779059,V,49862.8101,V,49869.7186
39,132759.82,-473442.2,0.3934,0.393386,,,,
40,132624.57,-473046.7,0.6341,0.634098,V,50983.5875,V,49863.7202
41,132701.39,-473102.0,0.6629,0.662934,V,50984.6043,V,50984.5522
44,132622.40,-473435.7,0.5675,0.567536,V,50983.5733,V,50971.6089
45,132530.87,-472720.8,0.5891,0.589135,,,,
46,132530.25,-472551.6,0.6870,0.686962,V,49819.6153,V,49821.6201
47,132556.49,-472412.3,0.4853,0.485295,,,,
49,132607.74,-473755.8,0.6046,0.604645,V,51675.4824,V,51335.6172
50,132553.94,-472736.1,0.3862,0.386166,,,,
51,132642.60,-472421.6,0.5742,0.574142,V,50984.6569,V,51276.8553
52,132635.17,-472804.3,0.6604,0.660387,,,,
54,132623.52,-471848.1,0.7729,0.772909,,,,
55,132545.10,-474220.0,0.5817,0.581921,,,,
56,132555.46,-473744.3,0.5680,0.568036,,,,
57,132749.43,-473650.5,0.7944,0.794422,,,V,51317.5478
58,132613.06,-472403.4,0.3699,0.369922,,,V,50971.6570
59,132618.43,-472947.2,0.5185,0.518551,V,50977.4650,V,51276.6197
62,132626.59,-472755.8,0.6198,0.619796,V,50984.5398,V,50984.4926
63,132507.89,-473653.7,0.8259,0.825960,,,,
64,132602.18,-473619.5,0.3445,0.344474,,,I,49863.7704
66,132633.04,-472225.6,0.4073,0.407273,,,,
67,132628.58,-471847.2,0.5645,0.564449,,,,
68,132612.82,-471936.1,0.5346,0.534762,,,,
69,132510.95,-473733.2,0.6532,0.653221,,,,
70,132727.76,-473343.1,0.3907,0.390591,,,I,49862.8163
71,132708.07,-472752.1,0.3575,0.357649,V,50971.5774,V,49865.6334
72,132733.04,-471622.6,0.3845,0.384504,,,,
73,132553.67,-471610.6,0.5752,0.575204,,,,
74,132707.27,-471734.3,0.5032,0.503214,V,51677.5088,V,55711.7447
75,132719.71,-471846.9,0.4222,0.422142,,,,
76,132657.29,-472007.9,0.3380,0.337960,,,,
77,132720.88,-472206.0,0.4263,0.426041,,,V,50977.4771
79,132825.06,-472924.8,0.6083,0.608287,V,49832.5177,V,49922.5029
80,132855.06,-473016.4,0.37718,0.377218,,,,
81,132736.65,-472448.8,0.3894,0.389385,,,,
82,132735.59,-472630.8,0.3358,0.335765,,,,
83,132708.44,-472134.4,0.3566,0.356610,,,I,49861.6428
84,132447.45,-472956.5,0.5799,0.579918,V,49822.6629,V,49833.6112
85,132506.61,-472333.5,0.7427,0.742749,,,,
86,132715.18,-472611.6,0.6478,0.647841,V,50978.6454,V,50978.5945
87,132657.48,-472535.6,0.3965,0.395941,R,51269.9734,,
88,132655.92,-472516.5,0.6902,0.690211,V,51675.5816,V,51336.6296
89,132645.97,-472601.1,0.3751,0.374179,R,51269.9529,,
90,132645.74,-472623.5,0.6034,0.603405,V,50985.6623,V,50973.5512
91,132650.60,-472615.7,0.8952,0.895222,V,51335.4843,V,51675.5464
94,132557.10,-472246.4,0.2539,0.253934,,,,
95,132524.92,-472852.9,0.4051,0.404966,V,51320.6449,V,51307.5743
96,132639.29,-472703.2,0.6245,0.624528,,,V,51276.8216
97,132708.50,-472531.3,0.6919,0.691890,V,49860.6212,V,51276.8570
98,132705.85,-472657.0,0.2806,0.280566,R,51269.7700,,
99,132702.15,-472749.2,0.7662,0.766179,V,51339.6367,V,51346.4656
100,132704.03,-472733.7,0.5527,0.552748,V,50975.6734,V,50975.6290
101,132730.23,-472951.5,0.3409,0.340947,,,V,49869.7149
102,132722.10,-473012.8,0.6914,0.691396,V,50975.5875,V,50975.5249
103,132714.28,-472836.7,0.3289,0.328856,V,50977.4642,V,50978.7052
104,132807.80,-473344.7,0.8665,0.866567,V,49824.5449,V,51316.6254
105,132746.04,-473244.2,0.3353,0.335331,V,51677.6761,,
106,132659.18,-472812.8,0.5699,0.569903,,,V,51305.4665
107,132714.03,-473058.3,0.5141,0.514104,V,50973.6737,V,49860.6035
108,132704.69,-472926.0,0.5945,0.594457,V,50971.6508,V,50984.6830
109,132701.55,-472936.9,0.7441,0.744099,V,50984.6119,V,50984.5494
110,132702.06,-473007.0,0.3321,0.332102,,,V,51276.6422
111,132649.01,-472840.5,0.7629,0.762901,,,,
112,132654.26,-473023.5,0.4744,0.474356,V,49165.5101,V,50985.5829
113,132656.31,-473147.8,0.5734,0.573376,V,50978.6264,V,50978.5866
114,132650.12,-473021.3,0.6753,0.675308,V,50978.5500,V,50984.5544
115,132612.30,-473417.9,0.6305,0.630480,V,50983.6326,V,50983.5881
116,132635.49,-472807.2,0.7201,0.720134,,,,
117,132619.91,-472921.5,0.4216,0.421643,I,49862.6933,I,49861.7506
118,132640.56,-473019.4,0.6116,0.611620,V,50975.5726,V,50972.4694
119,132638.30,-473118.3,0.3059,0.305875,B,50983.6283,B,49869.5645
120,132625.54,-473249.0,0.5485,0.548547,V,51383.4995,V,51218.8794
121,132628.18,-473151.0,0.3042,0.304182,B,49867.7385,B,49867.6664
122,132630.32,-473302.5,0.6349,0.634921,,,,
123,132651.08,-473713.2,0.4742,0.474857,,,,
124,132654.39,-473907.4,0.3319,0.331862,V,51336.5309,V,51695.5318
125,132648.97,-474103.5,0.5929,0.592878,V,49163.5691,V,49116.6901
126,132808.12,-474046.2,0.3420,0.341854,,,,
127,132519.45,-472837.5,0.3053,0.305273,V,49525.6515,V,49515.5167
128,132617.75,-473013.5,0.8350,0.834992,V,50984.6784,V,51276.8207
130,132610.02,-471339.9,0.4932,0.493251,,,,
131,132630.07,-472941.1,0.3923,0.392116,V,49862.5642,V,50983.4807
132,132639.20,-472910.0,0.6557,0.655644,B,49862.6154,B,49867.8041
134,132513.34,-471228.5,0.6529,0.652918,,,,
135,132628.09,-472918.3,0.6326,0.632583,V,50977.4876,V,51276.6459
136,132631.08,-472740.9,0.3919,0.391926,,,R,51269.8385
137,132631.54,-472704.6,0.3342,0.334210,R,51269.7525,R,51270.0141
139,132637.75,-472735.4,0.6769,0.676871,V,50978.6914,V,50972.5424
140,132642.17,-473007.4,0.6198,0.619805,R,51269.8991,,
141,132640.90,-472928.2,0.6974,0.697436,V,50973.6452,V,50975.6468
142,132642.65,-472843.0,0.3758,0.375867,,,,
143,132642.61,-472729.0,0.8207,0.820756,,,,
144,132643.05,-472818.0,0.8353,0.835322,,,,
145,132651.23,-473108.8,0.3732,0.374104,,,R,451269.8875
146,132652.86,-472928.2,0.6331,0.633097,R,51269.7827,R,451269.7359
147,132715.90,-473110.1,0.4227,0.422344,V,50978.6557,V,50978.5404
149,132732.86,-471343.2,0.6827,0.682724,,,,
150,132740.24,-473600.2,0.8993,0.899341,V,51286.8153,V,51672.5273
151,132825.40,-471600.2,0.4078,,,,,
153,132649.67,-472623.8,0.3862,0.386249,,,,
154,132703.13,-473033.0,0.3223,0.322338,,,,
155,132653.65,-472442.8,0.4139,0.413933,V,50984.6753,V,50971.7192
156,132647.90,-473152.5,0.3591,0.359071,V,51677.5795,V,51217.8803
157,132646.48,-472717.7,0.4064,0.405979,V,50971.6121,V,50975.5531
158,132645.33,-473040.4,0.3673,0.367293,,,,
159,132324.44,-474333.1,0.3431,,,,,
160,132536.09,-471232.3,0.3973,0.397263,,,,
163,132549.49,-472021.7,0.3132,0.313231,,,,
165,132639.40,-472655.8,0.5008,0.500745,,,,
166,132645.99,-472615.4,0.3402,0.340208,,,,
168,132552.75,-473203.2,0.3213,0.321297,,,,
169,132720.46,-472359.5,0.3191,0.319113,,,R,51270.0415
171,132258.93,-464724.8,,,,,,
172,132755.14,-470438.7,0.73805,0.737928,V,54273.4654,V,53830.6679
173,132943.24,-471654.1,0.35899,,,,,
175,132310.35,-481904.4,0.31613,,,,,
177,132904.27,-473621.5,0.3147,0.314737,,,,
178,133150.27,-471822.4,,,,,,
179,132345.51,-481752.9,,,,,,
181,133000.45,-474845.6,0.5884,,,,,
182,133213.42,-470618.6,0.5454,,,,,
183,132939.55,-473018.9,0.2961,,,,,
184,132728.50,-473135.9,0.3034,0.303372,,,,
185,132604.09,-472146.9,0.3330,0.333112,,,,
261,132715.42,-472129.9,0.4025,0.402524,,,,
263,132613.14,-472610.2,1.0122,1.012155,,,,
264,132639.66,-473028.5,0.3214,0.321393,R,51270.0231,R,51269.9432
265,132630.22,-472845.6,0.4226,0.421831,,,,
266,132639.63,-472802.0,0.3523,0.352314,,,,
267,132640.20,-472636.0,0.3158,0.315827,R,51269.7863,R,51270.0413
