id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,mag_v,merr_v,mag_b,merr_b
3.0,13.209,0.130,0.0,0.841258,12.992,0.065,12.865,0.104,12.849,0.085,12.713,0.070,14.413,0.231,,
4.0,13.469,0.110,0.0,0.62732,13.26,0.137,13.161,0.060,13.023,0.090,13.012,0.098,14.492,0.300,14.974,0.450
5.0,13.788,0.173,0.0,0.515274,13.632,0.279,13.52,0.128,13.383,0.074,13.333,0.067,14.783,0.291,15.3,0.443
7.0,13.324,0.115,0.0,0.713,13.06,0.112,12.987,0.096,,,,,,,,
8.0,13.634,0.166,0.0,0.521329,13.353,0.142,13.296,0.108,,,,,14.746,0.377,15.177,0.514
9.0,13.742,0.080,0.0,0.5234800000000001,13.505,0.088,13.448,0.048,13.31,0.027,13.27,0.055,14.796,0.312,15.327,0.468
10.0,13.581,0.049,1.0,0.37497600000000003,13.398,0.052,13.344,0.031,13.344,0.027,13.167,0.037,14.491,0.130,14.917,0.201
11.0,13.505,0.087,0.0,0.564789,13.309,0.117,13.223,0.081,,,,,14.552,0.244,14.939,0.332
12.0,13.606,0.063,1.0,0.38676900000000003,13.4,0.116,13.311,0.049,13.169,0.026,13.452,0.133,14.532,0.153,14.949,0.216
13.0,13.343,0.132,0.0,0.669039,13.09,0.100,13.039,0.081,12.903,0.071,12.843,0.083,14.496,0.282,15.015,0.405
14.0,13.612,0.065,1.0,0.377114,13.334,0.032,13.354,0.042,,,,,14.527,0.168,14.915,0.240
15.0,13.234,0.100,0.0,0.810642,12.961,0.115,12.917,0.083,,,,,14.416,0.209,14.965,0.320
16.0,13.678,0.065,1.0,0.330202,13.505,0.061,13.441,0.044,,,,,14.577,0.181,14.943,0.254
18.0,13.368,0.100,0.0,0.621689,13.164,0.090,13.116,0.075,,,,,14.611,0.334,15.023,0.454
19.0,13.886,0.049,1.0,0.299551,13.73,0.040,13.642,0.030,13.776,0.049,14.269,0.148,14.841,0.164,15.205,0.229
20.0,13.438,0.115,0.0,0.615559,13.229,0.062,13.197,0.121,13.088,0.089,12.962,0.086,14.62,0.324,15.081,0.427
21.0,13.577,0.072,1.0,0.380812,13.413,0.051,13.375,0.063,13.301,0.039,13.198,0.018,14.366,0.156,,
22.0,13.557,0.062,1.0,0.39605500000000005,13.384,0.061,13.286,0.041,,,,,14.552,0.123,14.949,0.215
23.0,13.801,0.199,0.0,0.5108699999999999,13.748,0.313,13.498,0.154,,,,,14.907,0.296,15.381,0.438
24.0,13.42,0.072,1.0,0.46227799999999997,13.198,0.047,13.127,0.055,,,,,14.486,0.138,14.896,0.182
25.0,13.52,0.149,0.0,0.588364,13.296,0.097,13.202,0.132,14.186,0.019,13.187,0.080,14.519,0.297,14.997,0.434
26.0,13.263,0.103,0.0,0.78472,13.008,0.065,12.921,0.077,,,,,14.515,0.180,15.073,0.262
27.0,13.481,0.083,0.0,0.61568,13.149,0.073,13.153,0.075,,,,,14.769,0.178,15.292,0.260
