id,ra,dec,per,type,mag_b,merr_b,mag_v,merr_v,mag_i,merr_i,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_b,resid_v,resid_i,resid_j,resid_h,resid_k,resid_3,resid_4
4.0,69.001281,-58.880586,0.3532,2.0,19.351,0.005,19.065,0.005,18.674,0.005,18.215,0.008,18.122,0.021,18.043,0.006,18.038,0.017,17.972,0.033,,,,,,,,
7.0,68.985697,-58.87559,0.61869,0.0,19.455,0.005,19.085,0.005,18.561,0.005,18.165,0.008,17.913,0.017,17.802,0.005,17.818,0.018,17.65,0.034,0.325517251544,0.0528001215773,-0.325658446232,-0.365725468671,-0.488761357887,-0.500344471004,-0.540775908939,-0.721818862613
25.0,69.101629,-58.844486,0.50516,0.0,19.379,0.005,19.07,0.005,18.681,0.005,18.39,0.008,18.11,0.021,18.003,0.005,17.912,0.046,17.851,0.037,0.360439579502,0.0517865475814,-0.32170921585,-0.279236818955,-0.464615048704,-0.473600100224,-0.653304392175,-0.752013148345
35.0,69.084316,-58.879947,0.53501,0.0,19.318,0.005,19.018,0.005,18.577,0.005,18.193,0.011,18.005,0.02,17.907,0.006,17.842,0.017,17.848,0.021,0.268027832571,-0.00417422462916,-0.392845161575,-0.437012223129,-0.520665152934,-0.520253193906,-0.664818237323,-0.689541962074
36.0,69.072557,-58.884024,0.32991,1.0,19.297,0.005,19.053,0.005,18.681,0.005,18.27,0.011,18.213,0.021,18.109,0.007,18.139,0.022,18.137,0.036,1.28532071793,0.192736369068,-0.258803894927,-0.84141419358,-0.685555227563,-1.17558826827,-0.179496323659,-1.28468506459
37.0,69.083936,-58.875964,0.50815,0.0,19.338,0.005,19.061,0.005,18.64,0.005,18.317,0.017,18.137,0.02,17.922,0.006,17.907,0.021,17.885,0.029,0.316210617475,0.0423794010737,-0.359330964283,-0.34820473724,-0.432583257412,-0.549527498341,-0.652292323712,-0.711283055466
38.0,69.042877,-58.887093,0.512341,0.0,19.325,0.005,19.028,0.005,18.65,0.005,18.051,0.014,18.107,0.02,17.938,0.006,17.895,0.022,17.878,0.034,0.298716507032,0.00881272938256,-0.344629070757,-0.608592834593,-0.455579946254,-0.526467386482,-0.65592465031,-0.708916026546
41.0,68.994134,-58.885258,0.3535,2.0,19.329,0.005,19.05,0.005,18.662,0.005,18.282,0.007,18.135,0.02,18.051,0.005,18.042,0.021,17.915,0.029,,,,,,,,
49.0,69.04092,-58.880769,0.5229,0.0,19.351,0.005,19.046,0.005,18.629,0.005,18.262,0.005,18.042,0.019,17.924,0.005,17.929,0.016,17.874,0.022,0.313554836358,0.0254053312164,-0.35395134549,-0.383654990835,-0.503186369983,-0.52293273875,-0.601142514224,-0.689651869307
57.0,69.056006,-58.875552,0.513594,0.0,19.355,0.005,19.072,0.005,18.62,0.005,18.186,0.008,17.982,0.018,17.906,0.006,17.914,0.016,17.931,0.027,0.32738002151,0.0526442091559,-0.373230793456,-0.471923933321,-0.578497259573,-0.556367808067,-0.6344362214,-0.653130403297
64.0,69.078179,-58.862321,0.513825,0.0,19.374,0.005,19.055,0.005,18.637,0.005,18.198,0.007,18.043,0.02,17.936,0.005,17.88,0.017,17.89,0.023,0.346133986329,0.0356131860705,-0.355973382955,-0.459616703337,-0.517113855349,-0.525981294224,-0.667978123615,-0.69361759466
67.0,69.077213,-58.864411,0.656971,0.0,19.509,0.005,19.09,0.005,18.424,0.005,18.117,0.007,17.847,0.019,17.719,0.005,17.717,0.02,17.759,0.047,0.346669077839,0.0536582273406,-0.428291552667,-0.372707172554,-0.503573033895,-0.53174098158,-0.580615242577,-0.544353746553
72.0,69.037904,-58.873847,0.3543,2.0,19.364,0.005,19.11,0.005,18.721,0.005,18.288,0.011,18.074,0.019,18.05,0.007,18.064,0.024,18.075,0.03,,,,,,,,
77.0,69.026743,-58.870154,0.352567,1.0,19.358,0.005,19.075,0.005,18.685,0.005,18.309,0.009,18.148,0.019,18.036,0.006,18.082,0.019,17.996,0.038,1.27150638828,0.203656426997,-0.239976408831,-0.756164653264,-0.70925363321,-1.17919347469,-0.2235440356,-1.34728510051
80.0,69.017098,-58.874826,0.57185,0.0,19.386,0.005,19.038,0.005,18.606,0.005,18.178,0.008,17.952,0.02,17.858,0.005,17.794,0.018,17.686,0.021,0.29959271371,0.0112315957924,-0.32572548213,-0.406514823245,-0.516887181479,-0.512014721907,-0.644978966606,-0.775600612521
92.0,68.964436,-58.850971,0.509938,0.0,19.299,0.005,19.037,0.005,18.651,0.005,,,18.086,0.019,17.965,0.008,17.857,0.044,17.846,0.046,,,,,,,,
97.0,69.022668,-58.863357,0.595274,0.0,19.476,0.005,19.099,0.005,18.583,0.005,18.174,0.006,17.919,0.017,17.829,0.005,17.843,0.015,17.887,0.027,0.367627511869,0.0694619580118,-0.325744729514,-0.383086353051,-0.515658128793,-0.506508052797,-0.555081521486,-0.528818764591
98.0,69.026956,-58.863583,0.3554,2.0,19.341,0.005,19.052,0.005,18.693,0.005,18.367,0.01,18.105,0.019,18.025,0.008,17.946,0.017,17.997,0.034,,,,,,,,
99.0,69.032349,-58.86309,0.609586,0.0,19.462,0.005,19.103,0.005,18.58,0.005,18.206,0.007,17.878,0.018,17.791,0.006,17.837,0.022,17.72,0.026,0.340628301081,0.0718228606079,-0.315144506329,-0.334853929228,-0.536401056987,-0.524086685008,-0.536878033003,-0.668724641086
100.0,69.032736,-58.862393,0.586647,0.0,19.451,0.005,19.076,0.005,18.594,0.005,18.22,0.006,17.929,0.02,17.843,0.005,17.797,0.022,17.848,0.036,0.350615030409,0.0474691207633,-0.323101547217,-0.347060557513,-0.518105325724,-0.505056203334,-0.615953640737,-0.584467068659
108.0,69.057591,-58.85534,0.46863,0.0,19.415,0.005,19.166,0.005,18.74,0.005,18.295,0.009,18.174,0.02,18.06,0.006,18.106,0.018,18.199,0.027,0.437509231484,0.152965105037,-0.305677703875,-0.425521470625,-0.464615156315,-0.481119283872,-0.535772792065,-0.489614208386
110.0,69.072219,-58.85724,0.3475,2.0,19.35,0.005,19.078,0.005,18.673,0.005,18.421,0.008,18.133,0.019,18.043,0.006,18.057,0.024,18.064,0.054,,,,,,,,
112.0,69.051043,-58.856432,0.56075,0.0,19.455,0.005,19.088,0.005,18.645,0.005,18.211,0.01,17.982,0.021,17.886,0.006,17.859,0.045,17.838,0.048,0.379317611057,0.0625839203055,-0.297946240062,-0.386907257758,-0.503600120382,-0.500863211927,-0.59994786577,-0.645954407536
117.0,69.02277,-58.847748,0.510445,0.0,19.298,0.005,18.991,0.005,18.638,0.005,18.219,0.007,17.99,0.021,17.916,0.006,17.962,0.021,17.993,0.036,0.273745062434,-0.0279314858666,-0.358751415464,-0.443125939992,-0.575741106813,-0.551654185789,-0.592701657861,-0.598144124043
135.0,69.024225,-58.826433,0.644952,0.0,19.475,0.005,19.065,0.005,18.55,0.005,17.956,0.012,17.883,0.02,17.746,0.005,17.57,0.053,17.407,0.056,0.322771562304,0.0299320705246,-0.312861120749,-0.546322385291,-0.483316047572,-0.520611679748,-0.746425258845,-0.917410252695
137.0,69.024526,-58.840182,0.544964,0.0,19.295,0.005,18.993,0.005,18.589,0.005,18.214,0.008,17.968,0.02,17.907,0.005,17.91,0.022,17.809,0.026,0.234941588989,-0.0304460199666,-0.370292585265,-0.403417290769,-0.541947447927,-0.504408009674,-0.578038460277,-0.70751930664
142.0,69.044197,-58.830739,0.56005,0.0,19.405,0.005,19.083,0.005,18.615,0.005,18.164,0.016,17.961,0.02,17.885,0.007,17.78,0.022,17.778,0.02,0.330001054831,0.0576700971461,-0.328661282538,-0.434760690261,-0.525665151932,-0.502936881467,-0.680220383293,-0.707378902479
145.0,69.051524,-58.823455,0.607015,0.0,19.452,0.005,19.093,0.005,18.564,0.005,18.109,0.013,17.909,0.02,17.825,0.006,17.833,0.021,17.734,0.035,0.33294083106,0.0621144523012,-0.333563955044,-0.434741640439,-0.509004743903,-0.493719599805,-0.545183778454,-0.659544623921
