id,ra,dec,per,type,mag_b,merr_b,mag_v,merr_v,mag_i,merr_i,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4
4.0,69.001281,-58.880586,0.3532,2.0,19.351,0.005,19.065,0.005,18.674,0.005,18.215,0.008,18.122,0.021,18.043,0.006,18.038,0.017,17.972,0.033
7.0,68.985697,-58.87559,0.61869,0.0,19.455,0.005,19.085,0.005,18.561,0.005,18.165,0.008,17.913,0.017,17.802,0.005,17.818,0.018,17.65,0.034
25.0,69.101629,-58.844486,0.50516,0.0,19.379,0.005,19.07,0.005,18.681,0.005,18.39,0.008,18.11,0.021,18.003,0.005,17.912,0.046,17.851,0.037
35.0,69.084316,-58.879947,0.53501,0.0,19.318,0.005,19.018,0.005,18.577,0.005,18.193,0.011,18.005,0.02,17.907,0.006,17.842,0.017,17.848,0.021
36.0,69.072557,-58.884024,0.32991,1.0,19.297,0.005,19.053,0.005,18.681,0.005,18.27,0.011,18.213,0.021,18.109,0.007,18.139,0.022,18.137,0.036
37.0,69.083936,-58.875964,0.50815,0.0,19.338,0.005,19.061,0.005,18.64,0.005,18.317,0.017,18.137,0.02,17.922,0.006,17.907,0.021,17.885,0.029
38.0,69.042877,-58.887093,0.512341,0.0,19.325,0.005,19.028,0.005,18.65,0.005,18.051,0.014,18.107,0.02,17.938,0.006,17.895,0.022,17.878,0.034
41.0,68.994134,-58.885258,0.3535,2.0,19.329,0.005,19.05,0.005,18.662,0.005,18.282,0.007,18.135,0.02,18.051,0.005,18.042,0.021,17.915,0.029
49.0,69.04092,-58.880769,0.5229,0.0,19.351,0.005,19.046,0.005,18.629,0.005,18.262,0.005,18.042,0.019,17.924,0.005,17.929,0.016,17.874,0.022
57.0,69.056006,-58.875552,0.513594,0.0,19.355,0.005,19.072,0.005,18.62,0.005,18.186,0.008,17.982,0.018,17.906,0.006,17.914,0.016,17.931,0.027
64.0,69.078179,-58.862321,0.513825,0.0,19.374,0.005,19.055,0.005,18.637,0.005,18.198,0.007,18.043,0.02,17.936,0.005,17.88,0.017,17.89,0.023
67.0,69.077213,-58.864411,0.656971,0.0,19.509,0.005,19.09,0.005,18.424,0.005,18.117,0.007,17.847,0.019,17.719,0.005,17.717,0.02,17.759,0.047
72.0,69.037904,-58.873847,0.3543,2.0,19.364,0.005,19.11,0.005,18.721,0.005,18.288,0.011,18.074,0.019,18.05,0.007,18.064,0.024,18.075,0.03
77.0,69.026743,-58.870154,0.352567,1.0,19.358,0.005,19.075,0.005,18.685,0.005,18.309,0.009,18.148,0.019,18.036,0.006,18.082,0.019,17.996,0.038
80.0,69.017098,-58.874826,0.57185,0.0,19.386,0.005,19.038,0.005,18.606,0.005,18.178,0.008,17.952,0.02,17.858,0.005,17.794,0.018,17.686,0.021
92.0,68.964436,-58.850971,0.509938,0.0,19.299,0.005,19.037,0.005,18.651,0.005,,,18.086,0.019,17.965,0.008,17.857,0.044,17.846,0.046
97.0,69.022668,-58.863357,0.595274,0.0,19.476,0.005,19.099,0.005,18.583,0.005,18.174,0.006,17.919,0.017,17.829,0.005,17.843,0.015,17.887,0.027
98.0,69.026956,-58.863583,0.3554,2.0,19.341,0.005,19.052,0.005,18.693,0.005,18.367,0.01,18.105,0.019,18.025,0.008,17.946,0.017,17.997,0.034
99.0,69.032349,-58.86309,0.609586,0.0,19.462,0.005,19.103,0.005,18.58,0.005,18.206,0.007,17.878,0.018,17.791,0.006,17.837,0.022,17.72,0.026
100.0,69.032736,-58.862393,0.586647,0.0,19.451,0.005,19.076,0.005,18.594,0.005,18.22,0.006,17.929,0.02,17.843,0.005,17.797,0.022,17.848,0.036
108.0,69.057591,-58.85534,0.46863,0.0,19.415,0.005,19.166,0.005,18.74,0.005,18.295,0.009,18.174,0.02,18.06,0.006,18.106,0.018,18.199,0.027
110.0,69.072219,-58.85724,0.3475,2.0,19.35,0.005,19.078,0.005,18.673,0.005,18.421,0.008,18.133,0.019,18.043,0.006,18.057,0.024,18.064,0.054
112.0,69.051043,-58.856432,0.56075,0.0,19.455,0.005,19.088,0.005,18.645,0.005,18.211,0.01,17.982,0.021,17.886,0.006,17.859,0.045,17.838,0.048
117.0,69.02277,-58.847748,0.510445,0.0,19.298,0.005,18.991,0.005,18.638,0.005,18.219,0.007,17.99,0.021,17.916,0.006,17.962,0.021,17.993,0.036
135.0,69.024225,-58.826433,0.644952,0.0,19.475,0.005,19.065,0.005,18.55,0.005,17.956,0.012,17.883,0.02,17.746,0.005,17.57,0.053,17.407,0.056
137.0,69.024526,-58.840182,0.544964,0.0,19.295,0.005,18.993,0.005,18.589,0.005,18.214,0.008,17.968,0.02,17.907,0.005,17.91,0.022,17.809,0.026
142.0,69.044197,-58.830739,0.56005,0.0,19.405,0.005,19.083,0.005,18.615,0.005,18.164,0.016,17.961,0.02,17.885,0.007,17.78,0.022,17.778,0.02
145.0,69.051524,-58.823455,0.607015,0.0,19.452,0.005,19.093,0.005,18.564,0.005,18.109,0.013,17.909,0.02,17.825,0.006,17.833,0.021,17.734,0.035
146.0,69.049472,-58.821727,0.48485,0.0,19.303,0.005,19.057,0.005,18.682,0.005,18.38,0.009,18.045,0.022,18.015,0.006,18.081,0.019,17.759,0.045
151.0,69.080181,-58.837675,0.319938,1.0,19.219,0.005,19.001,0.005,18.679,0.005,18.363,0.009,18.215,0.021,18.141,0.006,18.057,0.016,18.103,0.037
157.0,69.133204,-58.831486,0.3523,2.0,19.322,0.005,19.052,0.005,18.649,0.005,,,18.154,0.025,18.089,0.009,17.995,0.021,18.071,0.055
181.0,69.029697,-58.84865,0.296264,1.0,19.169,0.005,19.052,0.005,18.724,0.005,18.415,0.01,18.26,0.019,18.218,0.006,18.131,0.022,18.215,0.038
901.0,69.009173,-58.836863,0.5,3.0,,,,,,,,,17.172,0.005,17.044,0.003,17.092,0.037,17.078,0.026
902.0,68.989043,-58.850794,0.5,3.0,,,,,,,,,18.056,0.009,17.939,0.004,17.947,0.015,17.802,0.027
903.0,69.065387,-58.860238,0.5,3.0,,,,,,,,,18.204,0.011,18.093,0.005,18.205,0.028,18.181,0.041
