reject,crowded,middle,uncrowded
19,12,3,5
25,15,4,7
26,20,9,8
27,23,11,10
41,30,13,14
52,40,21,16
62,51,24,18
71,59,34,22
86,97,35,32
87,102,38,33
88,103,44,36
89,107,50,39
90,117,58,45
91,120,66,46
96,121,70,47
98,122,81,49
99,128,82,54
100,147,101,55
106,291,115,56
108,357,123,57
109,,169,63
110,,184,64
111,,263,67
112,,274,68
113,,276,69
114,,280,72
116,,,73
118,,,74
119,,,75
131,,,76
132,,,77
135,,,79
136,,,83
137,,,84
139,,,85
140,,,94
141,,,95
142,,,104
143,,,105
144,,,124
145,,,125
146,,,126
153,,,127
154,,,130
155,,,134
156,,,149
157,,,150
158,,,151
165,,,159
166,,,160
264,,,163
265,,,168
266,,,171
267,,,172
268,,,173
270,,,177
271,,,178
272,,,179
273,,,180
275,,,181
277,,,182
339,,,183
340,,,185
341,,,261
342,,,281
343,,,283
344,,,285
346,,,288
347,,,289
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
366,,,
399,,,
